iter	Logloss
0	0.6914065547
1	0.6891794681
2	0.6876184134
3	0.68616663
4	0.6839366265
5	0.6813934805
6	0.6794901153
7	0.6783485141
8	0.6770659486
9	0.6754941845
10	0.6736084507
11	0.6720552757
12	0.6711560738
13	0.6695537486
14	0.6679121989
15	0.6672712427
16	0.6658595979
17	0.6642421663
18	0.6630612971
19	0.6625583883
20	0.6616732479
21	0.6606522804
22	0.6593608775
23	0.6576407918
24	0.6570357079
25	0.6562622332
26	0.6548974749
27	0.6540076328
28	0.652717623
29	0.6516424116
30	0.6509254009
31	0.6499935047
32	0.6486108538
33	0.6474467453
34	0.646658077
35	0.6451940169
36	0.6444030849
37	0.6436695311
38	0.6422193149
39	0.6413986054
40	0.6407805918
41	0.6399894856
42	0.6394135262
43	0.638716193
44	0.6374443805
45	0.6363009944
46	0.635461391
47	0.6348007137
48	0.6343476082
49	0.6336212811
50	0.6331237706
51	0.6327508554
52	0.6320325822
53	0.6315219678
54	0.6305084446
55	0.6295943539
56	0.6286823093
57	0.6280336475
58	0.6268658386
59	0.6260738618
60	0.6251693486
61	0.6241902611
62	0.6238255739
63	0.6229402158
64	0.6222290387
65	0.6215584356
66	0.6211543933
67	0.6208899222
68	0.6202705155
69	0.6195545496
70	0.6187749365
71	0.6183758136
72	0.6178962392
73	0.6172402636
74	0.616494825
75	0.6159949201
76	0.6153272773
77	0.6145645555
78	0.6139991314
79	0.6131986218
80	0.6125399471
81	0.6120496198
82	0.6114784926
83	0.6111951276
84	0.6107739327
85	0.6103317108
86	0.6095490503
87	0.609067038
88	0.6087404433
89	0.6078593952
90	0.6070213155
91	0.6062598562
92	0.6048670182
93	0.6042276728
94	0.6033972116
95	0.6029024872
96	0.6023561312
97	0.601572687
98	0.6008491462
99	0.5998955698
100	0.599089749
101	0.5986827899
102	0.5980577238
103	0.5969758081
104	0.5965289716
105	0.5959798293
106	0.5957972027
107	0.5953086167
108	0.5946788924
109	0.5937317156
110	0.5930718219
111	0.5925501934
112	0.5919765413
113	0.5916287453
114	0.5911178262
115	0.5904802222
116	0.5899635565
117	0.5894017022
118	0.5889784613
119	0.5885067231
120	0.5880364651
121	0.5877884934
122	0.5873266811
123	0.5867300428
124	0.5862856877
125	0.5857515213
126	0.5855498266
127	0.5850157037
128	0.5846056101
129	0.5839976965
130	0.5832750263
131	0.5827954519
132	0.5821481833
133	0.5814780155
134	0.5809763257
135	0.5805216529
136	0.5799641521
137	0.5795315077
138	0.5792585038
139	0.5787774928
140	0.5782257385
141	0.5774537003
142	0.5767874507
143	0.57610222
144	0.5752077633
145	0.5750538694
146	0.5746480857
147	0.5740243691
148	0.573573658
149	0.5732566409
150	0.5730059701
151	0.5723584402
152	0.5717615843
153	0.5711036932
154	0.570446847
155	0.5700315729
156	0.5695632303
157	0.5689371629
158	0.5681850635
159	0.5676243411
160	0.5673652246
161	0.5667707631
162	0.5660660726
163	0.5655243747
164	0.5649167658
165	0.5644627896
166	0.5642104645
167	0.5637320221
168	0.5633696857
169	0.5627962512
170	0.5623579039
171	0.5619755852
172	0.5612969718
173	0.5609132601
174	0.5605444371
175	0.5602222829
176	0.5596626924
177	0.5593921699
178	0.5588816426
179	0.5583141724
180	0.5580450431
181	0.5575188434
182	0.5570204187
183	0.5567172455
184	0.5560729806
185	0.5553988513
186	0.5548086996
187	0.5541575999
188	0.5537684899
189	0.5533080706
190	0.5530314969
191	0.5527568387
192	0.552430244
193	0.5520843201
194	0.5518033494
195	0.5512061452
196	0.5508583929
197	0.5505189991
198	0.5502745973
199	0.5495262418
200	0.5490578122
201	0.5486066658
202	0.5480538231
203	0.5475094261
204	0.5472257998
205	0.5470177056
206	0.5464487987
207	0.5461343066
208	0.5458457609
209	0.5453359302
210	0.5449685438
211	0.5446064251
212	0.544030814
213	0.5437003447
214	0.5433433195
215	0.5429214717
216	0.5424467732
217	0.5420061185
218	0.541575172
219	0.5413592851
220	0.5408205911
221	0.5406771019
222	0.5402625678
223	0.5400226936
224	0.539470591
225	0.5393066842
226	0.5389616744
227	0.5384038253
228	0.5381425322
229	0.5378297814
230	0.537367882
231	0.5366213985
232	0.5361396474
233	0.5355651681
234	0.535321637
235	0.5347781107
236	0.5343016272
237	0.5340657581
238	0.53366189
239	0.5333352953
240	0.5329932894
241	0.532642925
242	0.5320570397
243	0.531744942
244	0.5312106449
245	0.530917267
246	0.5305488358
247	0.5300252917
248	0.5297814123
249	0.5291446789
250	0.5287301884
251	0.5281273247
252	0.527794374
253	0.5274351721
254	0.5269751882
255	0.5266509444
256	0.5264484226
257	0.5260045464
258	0.5257592739
259	0.5253473519
260	0.5250539739
261	0.5248020406
262	0.5242605604
263	0.5238003153
264	0.5231278837
